,ID,Відправлення,Прибуття,Маса,Обєм,Відстань,Вартість,Спосіб,Безготівковий,ПДВ,Час,Транспорт
5158,415660519,Чортків,Одеса,2.5,30.0,548.77,4500.0,1.0,0,0,0,Крита
5159,415670485,Шостка,Кривий Ріг,86.0,86.0,572.28,7000.0,0.0,0,0,0,Крита
5160,415678293,Одеса,Хоростків,21.0,86.0,569.67,9000.0,0.0,0,0,1,Крита
5161,412857403,Миколаїв,Чумаки,21.0,86.0,303.71,9500.0,1.0,1,1,0,Реф.
5162,414909467,Хуст,Степанки,2.0,2.0,842.72,1500.0,1.0,0,0,1,Бус
5163,415389661,Березань,Одеса,22.0,55.0,542.17,750.0,1.0,0,0,1,Зерновоз
5164,415640641,Вижниця,Херсон,22.0,86.0,757.48,16000.0,1.0,0,0,1,Тент
5165,415670545,Нова Каховка,Миколаїв,22.6,39.6,137.8,4000.0,1.0,0,0,1,Тент
5166,415666175,Нова Каховка,Київ,9.8,10.0,614.52,7500.0,1.0,0,0,1,Тент
5167,415666223,Нова Каховка,Київ,9.8,10.0,614.52,7500.0,1.0,0,0,1,Тент
5168,415670571,Єгорівка,Калинівка,21.0,17.0,419.19,8700.0,1.0,0,0,1,Тент
5169,415679349,Київ,Харків,10.0,86.0,471.76,8000.0,1.0,0,0,1,Тент
5170,414609605,Чернівці,Рівне,20.0,86.0,320.09,7000.0,1.0,1,1,0,Тент
5171,414259059,Черкаси,Рівне,20.0,86.0,513.19,10000.0,1.0,0,0,0,Тент
5172,414339701,Хмельницький,Рівне,22.0,86.0,193.15,4500.0,1.0,0,0,0,Тент
5173,414861587,Хмельницький,Рівне,22.0,86.0,193.15,4500.0,1.0,0,0,0,Тент
5174,415022165,Лазурне,Шелестове,12.0,12.0,601.1,5000.0,0.0,0,0,1,Крита
5175,412984977,Харків,Рівне,22.0,86.0,796.77,12000.0,1.0,0,0,0,Тент
5176,415248919,Кути Другі,Суми,22.0,30.0,267.92,10560.0,1.0,0,0,0,Самоскид
5177,415678919,Нова Ушиця,Узин,25.0,65.0,300.41,14700.0,1.0,0,0,1,Зерновоз
5178,415358465,Шостка,Кременчук,15.0,120.0,415.56,9000.0,1.0,1,0,0,Тент
5179,415666519,Рівне,Костянтинівка,25.0,50.0,1000.8,27500.0,0.0,0,0,1,Тент
5180,414974835,Сміла,Перечин,22.0,18.0,868.5,17000.0,0.0,0,0,1,Тент
5181,415678375,Чернівці,Київ,17.5,45.0,507.35,8500.0,0.0,0,0,1,Крита
